model,split,macro_f1,weighted_f1,balanced_accuracy,accuracy_context_only,worst_class_recall,training_seconds
Logistic Regression,validation,0.91493458,0.91493458,0.91500000,0.91500000,0.87500000,0.22005850
Logistic Regression,test,0.88750240,0.88750240,0.88750000,0.88750000,0.85000000,0.22005850
Random Forest,validation,0.92519556,0.92519556,0.92500000,0.92500000,0.90000000,1.40702570
Random Forest,test,0.92884022,0.92884022,0.92875000,0.92875000,0.90000000,1.40702570
HistGradientBoosting,validation,0.92763547,0.92763547,0.92750000,0.92750000,0.90500000,22.56351480
HistGradientBoosting,test,0.90172134,0.90172134,0.90125000,0.90125000,0.89000000,22.56351480
