feature,importance_mean,importance_std
Default : Send download notifications. (S),0.0,0.0
Default : Read Google settings (S),0.0,0.0
Default : Move application resources (S),0.0,0.0
Default : Modify Google settings (S),0.0,0.0
Default : Install DRM content. (S),0.0,0.0
Default : Audio File Access (S),0.0,0.0
Default : Advanced download manager functions. (S),0.0,0.0
Default : Access download manager. (S),0.0,0.0
Default : permission to install a location provider (S),0.0,0.0
Default : modify the Google services map (S),0.0,0.0
log_number_of_ratings,0.0,0.0
Network communication : Broadcast data messages to applications. (S),0.0,0.0
Development tools : send Linux signals to applications (D),0.0,0.0
Development tools : make all background applications close (D),0.0,0.0
Network communication : make/receive Internet calls (D),0.0,0.0
Development tools : limit number of running processes (D),0.0,0.0
Development tools : enable application debugging (D),0.0,0.0
Default : update component usage statistics (S),0.0,0.0
Default : set time (S),0.0,0.0
Default : record what you type and actions you take (S),0.0,0.0
Default : read phone state and identity (S),0.0,0.0
Default : Access Email provider data (S),0.0,0.0
System tools : force stop other applications (S),0.0,0.0
System tools : format external storage (D),0.0,0.0
Default : read frame buffer (S),0.0,0.0
Default : prevent app switches (S),0.0,0.0
Default : change screen orientation (S),-1.3139739162726371e-06,7.162406973520053e-05
System tools : set preferred applications (S),-2.069131339399455e-06,0.00016031953748369413
System tools : measure application storage space (S),-2.1144407847062397e-06,5.005409897081072e-05
System tools : read sync statistics (S),-3.5039304432604724e-06,5.100662167166409e-06
Network communication : control Near Field Communication (D),-7.838534052151403e-06,2.2072382113019477e-05
Default : modify battery statistics (S),-1.1629424316317305e-05,3.0206296925960885e-06
Default : directly install applications (S),-1.4212062703400363e-05,7.690825728810304e-05
System tools : delete all application cache data (D),-2.5146742190407246e-05,2.2950972202369e-05
System tools : bluetooth administration (D),-3.1052073239412616e-05,2.462273663404303e-05
Your personal information : write to user defined dictionary (S),-3.1142692130115e-05,1.443197313056805e-05
System tools : set wallpaper size hints (S),-3.707822947607298e-05,2.733452911839638e-05
Your messages : receive WAP (D),-4.360278961190733e-05,0.00016766507473502256
Your personal information : read user defined dictionary (D),-5.793567750305151e-05,3.8849408127998696e-05
Your personal information : read calendar events (D),-8.125493872950252e-05,6.72940435935577e-05
Your accounts : act as the AccountManagerService (S),-8.459273453980121e-05,6.361607488882279e-05
Hardware controls : change your audio settings (D),-9.283905360044642e-05,0.00024412995936203403
Default : modify secure system settings (S),-0.00012975114844340218,5.4715361407970236e-05
System tools : read sync settings (S),-0.00013283219072981466,0.00016247384908754366
Your messages : edit SMS or MMS (D),-0.00016436756471998047,0.00026096842328698433
System tools : change Wi-Fi state (D),-0.0002444595610178846,0.00035325141153719734
System tools : disable keylock (D),-0.0005373549191558747,0.0003912331524323858
Your accounts : discover known accounts (S),-0.0005493015095898501,0.00043396834205625064
Hardware controls : take pictures and videos (D),-0.0010218941281375348,0.00047781539941580206
